goods,expense,share
Food,61559,23
Housing,20684,7.7
"Fuel,light & water charges",17911,6.7
Furniture & household utensils,8361,3.1
Clothes & footwear,12030,4.5
Medical care,10522,3.9
Transportation & communication,34298,12.8
Education,9614,3.6
Reading & recreation,28607,10.7
Other living expenditure,64193,24
