GROUP,GROUPDesc,freq,period,sv,svDesc,figure,sd_value
S5,Clothing and footwear,Y,2008,CC_CM_1920,Index,93.5,
S6,Durable goods,Y,2008,CC_CM_1920,Index,148.8,
S7,Miscellaneous goods,Y,2008,CC_CM_1920,Index,78.2,
S8,Transport,Y,2008,CC_CM_1920,Index,82.4,
S9,Miscellaneous services,Y,2008,CC_CM_1920,Index,80.5,
,Total,Y,2009,CC_CM_1920,Index,72.3,
S1,Food,Y,2009,CC_CM_1920,Index,64.8,
S2,Housing,Y,2009,CC_CM_1920,Index,65.8,
S3,"Electricity, gas and water",Y,2009,CC_CM_1920,Index,69.8,
S4,Alcoholic drinks and tobacco,Y,2009,CC_CM_1920,Index,69.8,
S5,Clothing and footwear,Y,2009,CC_CM_1920,Index,95.9,
S6,Durable goods,Y,2009,CC_CM_1920,Index,144.6,
S7,Miscellaneous goods,Y,2009,CC_CM_1920,Index,80.0,
S8,Transport,Y,2009,CC_CM_1920,Index,81.7,
S9,Miscellaneous services,Y,2009,CC_CM_1920,Index,78.8,
,Total,Y,2010,CC_CM_1920,Index,74.0,
S1,Food,Y,2010,CC_CM_1920,Index,66.3,
S2,Housing,Y,2010,CC_CM_1920,Index,66.0,
S3,"Electricity, gas and water",Y,2010,CC_CM_1920,Index,100.2,
S4,Alcoholic drinks and tobacco,Y,2010,CC_CM_1920,Index,72.1,
S5,Clothing and footwear,Y,2010,CC_CM_1920,Index,97.7,
S6,Durable goods,Y,2010,CC_CM_1920,Index,140.4,
S7,Miscellaneous goods,Y,2010,CC_CM_1920,Index,81.8,
S8,Transport,Y,2010,CC_CM_1920,Index,83.3,
S9,Miscellaneous services,Y,2010,CC_CM_1920,Index,80.4,
,Total,Y,2011,CC_CM_1920,Index,77.9,
S1,Food,Y,2011,CC_CM_1920,Index,71.0,
S2,Housing,Y,2011,CC_CM_1920,Index,70.7,
S3,"Electricity, gas and water",Y,2011,CC_CM_1920,Index,95.9,
S4,Alcoholic drinks and tobacco,Y,2011,CC_CM_1920,Index,84.4,
S5,Clothing and footwear,Y,2011,CC_CM_1920,Index,104.3,
S6,Durable goods,Y,2011,CC_CM_1920,Index,135.1,
S7,Miscellaneous goods,Y,2011,CC_CM_1920,Index,84.9,
S8,Transport,Y,2011,CC_CM_1920,Index,87.0,
S9,Miscellaneous services,Y,2011,CC_CM_1920,Index,83.2,
,Total,Y,2012,CC_CM_1920,Index,81.1,
S1,Food,Y,2012,CC_CM_1920,Index,75.1,
S2,Housing,Y,2012,CC_CM_1920,Index,74.7,
S3,"Electricity, gas and water",Y,2012,CC_CM_1920,Index,88.1,
S4,Alcoholic drinks and tobacco,Y,2012,CC_CM_1920,Index,86.9,
S5,Clothing and footwear,Y,2012,CC_CM_1920,Index,107.5,
S6,Durable goods,Y,2012,CC_CM_1920,Index,133.2,
S7,Miscellaneous goods,Y,2012,CC_CM_1920,Index,86.8,
S8,Transport,Y,2012,CC_CM_1920,Index,89.6,
S9,Miscellaneous services,Y,2012,CC_CM_1920,Index,85.5,
,Total,Y,2013,CC_CM_1920,Index,84.6,
S1,Food,Y,2013,CC_CM_1920,Index,78.4,
S2,Housing,Y,2013,CC_CM_1920,Index,79.7,
S3,"Electricity, gas and water",Y,2013,CC_CM_1920,Index,94.1,
S4,Alcoholic drinks and tobacco,Y,2013,CC_CM_1920,Index,88.2,
S5,Clothing and footwear,Y,2013,CC_CM_1920,Index,109.3,
S6,Durable goods,Y,2013,CC_CM_1920,Index,127.5,
S7,Miscellaneous goods,Y,2013,CC_CM_1920,Index,88.7,
S8,Transport,Y,2013,CC_CM_1920,Index,91.7,
S9,Miscellaneous services,Y,2013,CC_CM_1920,Index,88.7,
,Total,Y,2014,CC_CM_1920,Index,88.3,
S1,Food,Y,2014,CC_CM_1920,Index,81.7,
S2,Housing,Y,2014,CC_CM_1920,Index,85.0,
S3,"Electricity, gas and water",Y,2014,CC_CM_1920,Index,108.2,
S4,Alcoholic drinks and tobacco,Y,2014,CC_CM_1920,Index,93.9,
S5,Clothing and footwear,Y,2014,CC_CM_1920,Index,110.3,
S6,Durable goods,Y,2014,CC_CM_1920,Index,123.2,
S7,Miscellaneous goods,Y,2014,CC_CM_1920,Index,90.8,
S8,Transport,Y,2014,CC_CM_1920,Index,93.6,
S9,Miscellaneous services,Y,2014,CC_CM_1920,Index,91.4,
,Total,Y,2015,CC_CM_1920,Index,91.0,
S1,Food,Y,2015,CC_CM_1920,Index,84.9,
S2,Housing,Y,2015,CC_CM_1920,Index,89.4,
S3,"Electricity, gas and water",Y,2015,CC_CM_1920,Index,117.3,
S4,Alcoholic drinks and tobacco,Y,2015,CC_CM_1920,Index,95.2,
S5,Clothing and footwear,Y,2015,CC_CM_1920,Index,108.3,
