goods,expense,share
Food,63482,25.4
Housing,18356,7.4
"Fuel, light & water charges",18485,7.4
Furniture & household utensils,9402,3.8
Clothing & footwear,9074,3.6
Medical care,11820,4.7
Transportation & communication,36005,14.4
Education,7631,3.1
Culture & recreation,25772,10.3
Other consumption expenditures 1),49678,19.9
