goods,expense,share
Food,60272,24
Housing,19069,7.6
"Fuel, light & water charges",20129,8
Furniture & household utensils,8823,3.5
Clothing & footwear,10269,4.1
Medical care,11031,4.4
Transportation & communication,35080,13.9
Education,7576,3
Culture & recreation,25928,10.3
Other consumption expenditures,53305,21.2
