"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4653130287648","53.4412955465587","49.854121079504","50.3186850050319","51.9455252918288","49.3872037405919","49.5563912476603","52.5819403707606","54.0055097623368","51.7617420772831","52.9032667358042","55.0121909262593","56.688680815977","54.7001835719061","57.24423521588","60.2800266579295","62.410732589996","60.7376106628546","58.5598779401374","57.6466269158529","55.0550069452785","54.8913805671192","55.8700780388789","56.5344548166762","58.993962194987","62.4603513662423","61.7865070688185","58.8482443791064","51.2544311240943","47.9996343571001","",
"Africa Eastern and Southern","AFE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","55.1453072344477","57.1892800106811","57.9359004781295","52.074597384763","55.7380529292779","60.7123383615236","61.1268600927676","62.2168524075905","66.5532512277599","67.0693661312625","65.4490674276865","64.5937154469701","68.4263905678543","69.3872539136716","67.7270479063535","68.9073810553155","70.6712292419944","70.1631560348746","69.6357614611379","67.7333002002764","64.0393365468679","63.700459744632","63.4775909646926","62.1935806182038","60.7184689498974","59.5031339222392","57.9319072637767","61.4801304075059","61.2001951706505","60.6898701649583","62.8435697322025","62.2782117744477","63.9199774304643","66.3995237139922","66.2145900589924","65.8836198841721","65.9620751484867","65.9748600797054","66.2241434085057","64.9095683891174","65.9386005888854","68.1008064565922","69.0972623693023","",
"Afghanistan","AFG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.3033474357087","88.4783227246134","97.6114990872194","98.0710039899031","","",
"Africa Western and Central","AFW","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3998763487934","42.6316117445636","40.5147141851421","32.5909945661505","30.2414628814874","31.163635349142","29.3706517169488","37.671129575512","35.3923820230385","33.8187636464674","34.6961951444393","36.6726271777856","47.4407939788123","56.0571666634793","52.790550019011","53.0529753518834","51.8853712147617","50.7307493094369","60.1024652776565","56.0096245506633","59.6840876931433","64.6608126621731","66.7826475101541","",
"Albania","ALB","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","58.1037695512998","56.8512874689961","60.0853697026323","59.8407163193851","62.9594960077711","62.3247134398947","62.420546159664","64.2938983093612","66.8206788710954","64.5058552920656","62.6794754637386","94.2245755084898","165.503835345009","123.853231286866","101.18271948419","89.1577366901918","90.6745741273041","94.3323841877642","90.9774003998942","81.5296753526406","78.7766217374499","74.1983602082365","75.8376088473677","76.7228116466043","74.4139091897409","74.7630459073055","75.2908167462966","79.5954981134403","82.0725760153753","80.075805013867","76.1306243121683","76.8794091503398","77.288875564818","77.187492684652","78.3050945904138","77.6277561747814","77.7555353366274","75.2751802703053","74.4741478843493","75.5463145951622","74.5535127120429","71.6946907880159","71.3571820247859","69.9537568857223","69.5134921330505","",
"Andorra","AND","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","63.1070259475692","60.1394161739887","57.5141559852532","50.018675622834","32.8906385017451","40.1381328089143","37.8458213563854","43.36509198624","46.5519198057554","42.1980264017401","37.4772206288204","40.5886580221545","48.721692277301","53.546753869739","56.4090560591291","58.3764306899916","63.4568992608144","62.0122061273161","63.3323879876055","67.6653851007978","59.7866775353146","62.8142619907423","58.6310734074556","62.6791485210405","61.6482408243232","60.5109644595502","58.2998859222031","57.2813332728826","60.3647842320996","55.3329811646465","48.7731041318238","50.3330258460518","50.9043372923358","48.7377526064667","46.2283828155479","42.354759239795","41.4728374251043","43.1361769365857","41.3535552983425","48.7174723627454","43.4203360422858","39.8468915108288","40.1506676411185","41.3863895872103","44.5604028530473","51.9500195417793","53.854129111058","51.534114721185","47.9338499596254","49.4948706920989","55.5031410359434","50.9021814017535","46.8772217386815","49.5918472974324","51.4716068130513","",
"United Arab Emirates","ARE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1295000948837","61.3726956607984","58.5738706526928","60.7617941000396","56.3427885689804","56.0267595495039","60.0977771677909","58.3828486018288","52.287607099448","39.7768638478377","36.5019679401439","30.6516172235802","31.9879471621456","34.925863959292","40.202495587384","40.534691152301","39.5826667152707","36.7069087744606","37.7527149324106","45.314814546569","40.1622775580502","41.4505073932621","44.8718042233488","","",
"Argentina","ARG","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","69.1561268629598","62.3110847615408","67.0539686143643","71.7612560852188","68.6716633493577","67.4075437566741","66.9898919677513","66.5471525803707","67.3994108388648","66.5082269233476","64.9516781183547","66.3414751155515","66.3968715517589","65.663698601238","63.972873286212","58.1245533888674","56.5967065040283","57.753472832318","58.140784019256","62.9540290149115","","","","","","","","75.4331977559006","73.7182834812987","73.5117362007716","77.1393728761382","80.4442259603692","81.8565265586644","69.2059625707668","69.9219049875699","68.5607887401454","68.5237276536172","69.3263709498428","69.0533562246978","70.1422650719695","69.3320118049111","68.9119843094492","61.898423859492","63.1978064135118","64.3315008496063","63.0293921464661","63.2701880412596","62.5312329074365","63.074583476516","62.9781476872291","64.2341147639994","64.2203212799743","64.9033991071491","65.9875655300738","65.3830797250888","65.9058373448263","65.7218914651221","66.7395733212516","69.4701822877233","66.1275863051046","65.7047068081581","62.9531640399486","65.9286486192602","65.6351973299487","66.6849067208421","",
