LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
1,Public rental housing,Y,2004,MED_DH_INC_XEI,HK$,12500,
2,Subsidised home ownership housing,Y,2004,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2004,MED_DH_INC_XEI,HK$,25000,
1,Public rental housing,Y,2005,MED_DH_INC_XEI,HK$,12700,
2,Subsidised home ownership housing,Y,2005,MED_DH_INC_XEI,HK$,20000,
3_temp,Private permanent housing,Y,2005,MED_DH_INC_XEI,HK$,25000,
1,Public rental housing,Y,2006,MED_DH_INC_XEI,HK$,12800,
2,Subsidised home ownership housing,Y,2006,MED_DH_INC_XEI,HK$,20600,
3_temp,Private permanent housing,Y,2006,MED_DH_INC_XEI,HK$,26000,
1,Public rental housing,Y,2007,MED_DH_INC_XEI,HK$,13100,
2,Subsidised home ownership housing,Y,2007,MED_DH_INC_XEI,HK$,21400,
3_temp,Private permanent housing,Y,2007,MED_DH_INC_XEI,HK$,27800,
1,Public rental housing,Y,2008,MED_DH_INC_XEI,HK$,13800,
2,Subsidised home ownership housing,Y,2008,MED_DH_INC_XEI,HK$,22500,
3_temp,Private permanent housing,Y,2008,MED_DH_INC_XEI,HK$,29200,
1,Public rental housing,Y,2009,MED_DH_INC_XEI,HK$,13300,
2,Subsidised home ownership housing,Y,2009,MED_DH_INC_XEI,HK$,21500,
3_temp,Private permanent housing,Y,2009,MED_DH_INC_XEI,HK$,28500,
1,Public rental housing,Y,2010,MED_DH_INC_XEI,HK$,13500,
2,Subsidised home ownership housing,Y,2010,MED_DH_INC_XEI,HK$,22000,
3_temp,Private permanent housing,Y,2010,MED_DH_INC_XEI,HK$,30000,
1,Public rental housing,Y,2011,MED_DH_INC_XEI,HK$,14900,
2,Subsidised home ownership housing,Y,2011,MED_DH_INC_XEI,HK$,24000,
3_temp,Private permanent housing,Y,2011,MED_DH_INC_XEI,HK$,31000,
1,Public rental housing,Y,2012,MED_DH_INC_XEI,HK$,16000,
2,Subsidised home ownership housing,Y,2012,MED_DH_INC_XEI,HK$,26000,
3_temp,Private permanent housing,Y,2012,MED_DH_INC_XEI,HK$,34200,
1,Public rental housing,Y,2013,MED_DH_INC_XEI,HK$,17100,
2,Subsidised home ownership housing,Y,2013,MED_DH_INC_XEI,HK$,28000,
3_temp,Private permanent housing,Y,2013,MED_DH_INC_XEI,HK$,35500,
1,Public rental housing,Y,2014,MED_DH_INC_XEI,HK$,18200,
2,Subsidised home ownership housing,Y,2014,MED_DH_INC_XEI,HK$,29200,
3_temp,Private permanent housing,Y,2014,MED_DH_INC_XEI,HK$,37500,
1,Public rental housing,Y,2015,MED_DH_INC_XEI,HK$,19400,
2,Subsidised home ownership housing,Y,2015,MED_DH_INC_XEI,HK$,30800,
3_temp,Private permanent housing,Y,2015,MED_DH_INC_XEI,HK$,40000,
1,Public rental housing,Y,2016,MED_DH_INC_XEI,HK$,20200,
2,Subsidised home ownership housing,Y,2016,MED_DH_INC_XEI,HK$,31000,
3_temp,Private permanent housing,Y,2016,MED_DH_INC_XEI,HK$,41200,
1,Public rental housing,Y,2017,MED_DH_INC_XEI,HK$,21300,
2,Subsidised home ownership housing,Y,2017,MED_DH_INC_XEI,HK$,33000,
3_temp,Private permanent housing,Y,2017,MED_DH_INC_XEI,HK$,44000,
1,Public rental housing,Y,2018,MED_DH_INC_XEI,HK$,22800,
2,Subsidised home ownership housing,Y,2018,MED_DH_INC_XEI,HK$,35000,
3_temp,Private permanent housing,Y,2018,MED_DH_INC_XEI,HK$,45800,
1,Public rental housing,Y,2019,MED_DH_INC_XEI,HK$,24000,
2,Subsidised home ownership housing,Y,2019,MED_DH_INC_XEI,HK$,35100,
3_temp,Private permanent housing,Y,2019,MED_DH_INC_XEI,HK$,47000,
1,Public rental housing,Y,2020,MED_DH_INC_XEI,HK$,23000,
2,Subsidised home ownership housing,Y,2020,MED_DH_INC_XEI,HK$,33500,
3_temp,Private permanent housing,Y,2020,MED_DH_INC_XEI,HK$,45900,
1,Public rental housing,Y,2021,MED_DH_INC_XEI,HK$,24000,
2,Subsidised home ownership housing,Y,2021,MED_DH_INC_XEI,HK$,34500,
3_temp,Private permanent housing,Y,2021,MED_DH_INC_XEI,HK$,45800,
1,Public rental housing,Y,2022,MED_DH_INC_XEI,HK$,25000,
2,Subsidised home ownership housing,Y,2022,MED_DH_INC_XEI,HK$,35000,
3_temp,Private permanent housing,Y,2022,MED_DH_INC_XEI,HK$,48000,
1,Public rental housing,Y,2023,MED_DH_INC_XEI,HK$,26600,
2,Subsidised home ownership housing,Y,2023,MED_DH_INC_XEI,HK$,37000,
3_temp,Private permanent housing,Y,2023,MED_DH_INC_XEI,HK$,50200,
1,Public rental housing,Y,2024,MED_DH_INC_XEI,HK$,27000,
2,Subsidised home ownership housing,Y,2024,MED_DH_INC_XEI,HK$,37900,
3_temp,Private permanent housing,Y,2024,MED_DH_INC_XEI,HK$,51100,
1,Public rental housing,Y,2025,MED_DH_INC_XEI,HK$,27500,
2,Subsidised home ownership housing,Y,2025,MED_DH_INC_XEI,HK$,38200,
3_temp,Private permanent housing,Y,2025,MED_DH_INC_XEI,HK$,52400,
