Table 220-19023 : Nominal Indices of Payroll per Person Engaged by industry division (Q1 1999 = 100),,,
 ,,,
 , , ,Nominal Index of Payroll per Person Engaged (Q1 1999 = 100)
,,,Index
Year,Quarter,Industry section/Industry division,
2009,Q3,"H: Transportation, storage, postal and courier services",103.6
2009,Q3,I: Accommodation and food service activities,86.3
2009,Q3,J: Information and communications,89.1
2009,Q3,K: Financial and insurance activities,125.3
2009,Q3,L: Real estate activities,100.6
2009,Q3,"M, N: Professional and business services",91.5
2009,Q3,"P, Q, R, S: Social and personal services",99.5
2009,Q3,     85: Education,98.8
2009,Q3,     86: Human health activities,106.0
2009,Q3,     87-88: Residential care activities and social work activities without accommodation,95.5
2009,Q3,"     95: Repair of motor vehicles, motorcycles, computers, personal and household goods",87.5
2009,Q4,B: Mining and quarrying,95.1
2009,Q4,C: Manufacturing,91.5
2009,Q4,D: Electricity and gas supply,125.0
2009,Q4,"E: Sewerage, waste management and remediation activities",141.1
2009,Q4,G (part of): Import/export and wholesale trades,105.8
2009,Q4,G (part of): Retail trade,102.2
2009,Q4,"H: Transportation, storage, postal and courier services",110.4
2009,Q4,I: Accommodation and food service activities,87.5
2009,Q4,J: Information and communications,93.2
2009,Q4,K: Financial and insurance activities,131.6
2009,Q4,L: Real estate activities,96.1
2009,Q4,"M, N: Professional and business services",93.8
2009,Q4,"P, Q, R, S: Social and personal services",95.9
2009,Q4,     85: Education,93.5
2009,Q4,     86: Human health activities,107.4
2009,Q4,     87-88: Residential care activities and social work activities without accommodation,94.0
2009,Q4,"     95: Repair of motor vehicles, motorcycles, computers, personal and household goods",94.1
2010,Q1,B: Mining and quarrying,[*1]
2010,Q1,C: Manufacturing,94.1
2010,Q1,D: Electricity and gas supply,148.6
2010,Q1,"E: Sewerage, waste management and remediation activities",146.3
2010,Q1,G (part of): Import/export and wholesale trades,115.4
2010,Q1,G (part of): Retail trade,113.4
2010,Q1,"H: Transportation, storage, postal and courier services",108.8
2010,Q1,I: Accommodation and food service activities,91.8
2010,Q1,J: Information and communications,97.4
2010,Q1,K: Financial and insurance activities,157.4
2010,Q1,L: Real estate activities,101.7
2010,Q1,"M, N: Professional and business services",99.0
2010,Q1,"P, Q, R, S: Social and personal services",95.3
2010,Q1,     85: Education,91.6
2010,Q1,     86: Human health activities,102.7
2010,Q1,     87-88: Residential care activities and social work activities without accommodation,98.6
2010,Q1,"     95: Repair of motor vehicles, motorcycles, computers, personal and household goods",92.2
2010,Q2,B: Mining and quarrying,[*1]
2010,Q2,C: Manufacturing,90.8
2010,Q2,D: Electricity and gas supply,107.8
2010,Q2,"E: Sewerage, waste management and remediation activities",141.5
2010,Q2,G (part of): Import/export and wholesale trades,99.2
2010,Q2,G (part of): Retail trade,98.1
2010,Q2,"H: Transportation, storage, postal and courier services",95.5
2010,Q2,I: Accommodation and food service activities,86.5
2010,Q2,J: Information and communications,93.8
2010,Q2,K: Financial and insurance activities,132.1
2010,Q2,L: Real estate activities,102.3
2010,Q2,"M, N: Professional and business services",92.5
2010,Q2,"P, Q, R, S: Social and personal services",94.1
2010,Q2,     85: Education,94.7
2010,Q2,     86: Human health activities,103.2
2010,Q2,     87-88: Residential care activities and social work activities without accommodation,92.3
2010,Q2,"     95: Repair of motor vehicles, motorcycles, computers, personal and household goods",89.0
2010,Q3,B: Mining and quarrying,[*1]
2010,Q3,C: Manufacturing,89.3
2010,Q3,D: Electricity and gas supply,109.9
2010,Q3,"E: Sewerage, waste management and remediation activities",135.9
2010,Q3,G (part of): Import/export and wholesale trades,103.5
2010,Q3,G (part of): Retail trade,101.5
2010,Q3,"H: Transportation, storage, postal and courier services",107.4
2010,Q3,I: Accommodation and food service activities,88.9
2010,Q3,J: Information and communications,90.2
2010,Q3,K: Financial and insurance activities,131.8
